Item,TIME_PERIOD,FREQ,TYPE,Item_VALUE
總指數(指數基期：民國110年=100),1981M01,M,原始值,52.95
總指數(指數基期：民國110年=100),1981M01,M,年增率(%),
總指數(指數基期：民國110年=100),1981M02,M,原始值,53.85
總指數(指數基期：民國110年=100),1981M02,M,年增率(%),
總指數(指數基期：民國110年=100),1981M03,M,原始值,54.09
總指數(指數基期：民國110年=100),1981M03,M,年增率(%),
總指數(指數基期：民國110年=100),1981M04,M,原始值,54.3
總指數(指數基期：民國110年=100),1981M04,M,年增率(%),
總指數(指數基期：民國110年=100),1981M05,M,原始值,54.09
總指數(指數基期：民國110年=100),1981M05,M,年增率(%),
總指數(指數基期：民國110年=100),1981M06,M,原始值,54.61
總指數(指數基期：民國110年=100),1981M06,M,年增率(%),
總指數(指數基期：民國110年=100),1981M07,M,原始值,54.82
總指數(指數基期：民國110年=100),1981M07,M,年增率(%),
總指數(指數基期：民國110年=100),1981M08,M,原始值,55.36
總指數(指數基期：民國110年=100),1981M08,M,年增率(%),
總指數(指數基期：民國110年=100),1981M09,M,原始值,56.02
總指數(指數基期：民國110年=100),1981M09,M,年增率(%),
總指數(指數基期：民國110年=100),1981M10,M,原始值,55.71
總指數(指數基期：民國110年=100),1981M10,M,年增率(%),
總指數(指數基期：民國110年=100),1981M11,M,原始值,55.34
總指數(指數基期：民國110年=100),1981M11,M,年增率(%),
總指數(指數基期：民國110年=100),1981M12,M,原始值,55.26
總指數(指數基期：民國110年=100),1981M12,M,年增率(%),
總指數(指數基期：民國110年=100),1982M01,M,原始值,55.62
總指數(指數基期：民國110年=100),1982M01,M,年增率(%),5.04
總指數(指數基期：民國110年=100),1982M02,M,原始值,55.44
總指數(指數基期：民國110年=100),1982M02,M,年增率(%),2.95
總指數(指數基期：民國110年=100),1982M03,M,原始值,55.59
總指數(指數基期：民國110年=100),1982M03,M,年增率(%),2.77
總指數(指數基期：民國110年=100),1982M04,M,原始值,55.73
總指數(指數基期：民國110年=100),1982M04,M,年增率(%),2.63
總指數(指數基期：民國110年=100),1982M05,M,原始值,56.07
總指數(指數基期：民國110年=100),1982M05,M,年增率(%),3.66
總指數(指數基期：民國110年=100),1982M06,M,原始值,56.18
總指數(指數基期：民國110年=100),1982M06,M,年增率(%),2.87
總指數(指數基期：民國110年=100),1982M07,M,原始值,56.15
總指數(指數基期：民國110年=100),1982M07,M,年增率(%),2.43
總指數(指數基期：民國110年=100),1982M08,M,原始值,57.85
總指數(指數基期：民國110年=100),1982M08,M,年增率(%),4.5
總指數(指數基期：民國110年=100),1982M09,M,原始值,57.31
總指數(指數基期：民國110年=100),1982M09,M,年增率(%),2.3
總指數(指數基期：民國110年=100),1982M10,M,原始值,56.85
總指數(指數基期：民國110年=100),1982M10,M,年增率(%),2.05
總指數(指數基期：民國110年=100),1982M11,M,原始值,56.39
總指數(指數基期：民國110年=100),1982M11,M,年增率(%),1.9
總指數(指數基期：民國110年=100),1982M12,M,原始值,56.6
總指數(指數基期：民國110年=100),1982M12,M,年增率(%),2.42
總指數(指數基期：民國110年=100),1983M01,M,原始值,56.62
總指數(指數基期：民國110年=100),1983M01,M,年增率(%),1.8
總指數(指數基期：民國110年=100),1983M02,M,原始值,57.19
總指數(指數基期：民國110年=100),1983M02,M,年增率(%),3.16
總指數(指數基期：民國110年=100),1983M03,M,原始值,57.43
總指數(指數基期：民國110年=100),1983M03,M,年增率(%),3.31
總指數(指數基期：民國110年=100),1983M04,M,原始值,57.68
總指數(指數基期：民國110年=100),1983M04,M,年增率(%),3.5
總指數(指數基期：民國110年=100),1983M05,M,原始值,57.28
總指數(指數基期：民國110年=100),1983M05,M,年增率(%),2.16
總指數(指數基期：民國110年=100),1983M06,M,原始值,57.71
總指數(指數基期：民國110年=100),1983M06,M,年增率(%),2.72
總指數(指數基期：民國110年=100),1983M07,M,原始值,57.06
總指數(指數基期：民國110年=100),1983M07,M,年增率(%),1.62
總指數(指數基期：民國110年=100),1983M08,M,原始值,57.03
總指數(指數基期：民國110年=100),1983M08,M,年增率(%),-1.42
總指數(指數基期：民國110年=100),1983M09,M,原始值,57.21
總指數(指數基期：民國110年=100),1983M09,M,年增率(%),-0.17
總指數(指數基期：民國110年=100),1983M10,M,原始值,57.19
總指數(指數基期：民國110年=100),1983M10,M,年增率(%),0.6
總指數(指數基期：民國110年=100),1983M11,M,原始值,56.71
總指數(指數基期：民國110年=100),1983M11,M,年增率(%),0.57
總指數(指數基期：民國110年=100),1983M12,M,原始值,55.93
總指數(指數基期：民國110年=100),1983M12,M,年增率(%),-1.18
總指數(指數基期：民國110年=100),1984M01,M,原始值,55.97
總指數(指數基期：民國110年=100),1984M01,M,年增率(%),-1.15
總指數(指數基期：民國110年=100),1984M02,M,原始值,56.54
總指數(指數基期：民國110年=100),1984M02,M,年增率(%),-1.14
總指數(指數基期：民國110年=100),1984M03,M,原始值,56.69
總指數(指數基期：民國110年=100),1984M03,M,年增率(%),-1.29
總指數(指數基期：民國110年=100),1984M04,M,原始值,56.8
總指數(指數基期：民國110年=100),1984M04,M,年增率(%),-1.53
總指數(指數基期：民國110年=100),1984M05,M,原始值,57.49
總指數(指數基期：民國110年=100),1984M05,M,年增率(%),0.37
總指數(指數基期：民國110年=100),1984M06,M,原始值,57.44
總指數(指數基期：民國110年=100),1984M06,M,年增率(%),-0.47
總指數(指數基期：民國110年=100),1984M07,M,原始值,57.28
總指數(指數基期：民國110年=100),1984M07,M,年增率(%),0.39
總指數(指數基期：民國110年=100),1984M08,M,原始值,57.49
總指數(指數基期：民國110年=100),1984M08,M,年增率(%),0.81
總指數(指數基期：民國110年=100),1984M09,M,原始值,57.69
總指數(指數基期：民國110年=100),1984M09,M,年增率(%),0.84
總指數(指數基期：民國110年=100),1984M10,M,原始值,57.46
總指數(指數基期：民國110年=100),1984M10,M,年增率(%),0.47
總指數(指數基期：民國110年=100),1984M11,M,原始值,57.13
總指數(指數基期：民國110年=100),1984M11,M,年增率(%),0.74
總指數(指數基期：民國110年=100),1984M12,M,原始值,56.85
總指數(指數基期：民國110年=100),1984M12,M,年增率(%),1.64
總指數(指數基期：民國110年=100),1985M01,M,原始值,56.88
總指數(指數基期：民國110年=100),1985M01,M,年增率(%),1.63
總指數(指數基期：民國110年=100),1985M02,M,原始值,57.33
總指數(指數基期：民國110年=100),1985M02,M,年增率(%),1.4
總指數(指數基期：民國110年=100),1985M03,M,原始值,57.36
總指數(指數基期：民國110年=100),1985M03,M,年增率(%),1.18
總指數(指數基期：民國110年=100),1985M04,M,原始值,57.08
總指數(指數基期：民國110年=100),1985M04,M,年增率(%),0.49
總指數(指數基期：民國110年=100),1985M05,M,原始值,56.9
總指數(指數基期：民國110年=100),1985M05,M,年增率(%),-1.03
總指數(指數基期：民國110年=100),1985M06,M,原始值,56.81
總指數(指數基期：民國110年=100),1985M06,M,年增率(%),-1.1
總指數(指數基期：民國110年=100),1985M07,M,原始值,56.87
總指數(指數基期：民國110年=100),1985M07,M,年增率(%),-0.72
總指數(指數基期：民國110年=100),1985M08,M,原始值,56.62
總指數(指數基期：民國110年=100),1985M08,M,年增率(%),-1.51
總指數(指數基期：民國110年=100),1985M09,M,原始值,57.56
總指數(指數基期：民國110年=100),1985M09,M,年增率(%),-0.23
總指數(指數基期：民國110年=100),1985M10,M,原始值,57.5
總指數(指數基期：民國110年=100),1985M10,M,年增率(%),0.07
總指數(指數基期：民國110年=100),1985M11,M,原始值,56.7
總指數(指數基期：民國110年=100),1985M11,M,年增率(%),-0.75
總指數(指數基期：民國110年=100),1985M12,M,原始值,56.11
總指數(指數基期：民國110年=100),1985M12,M,年增率(%),-1.3
總指數(指數基期：民國110年=100),1986M01,M,原始值,56.64
總指數(指數基期：民國110年=100),1986M01,M,年增率(%),-0.42
總指數(指數基期：民國110年=100),1986M02,M,原始值,56.8
總指數(指數基期：民國110年=100),1986M02,M,年增率(%),-0.92
