統計項目,行業代碼,行業別,資料期(民國年),統計值(指數),計量單位
營業額指數,45_46,批發業,08801,63.84,110年=100
營業額指數,45_46,批發業,08802,65.19,110年=100
營業額指數,45_46,批發業,08803,66.45,110年=100
營業額指數,45_46,批發業,08804,67.00,110年=100
營業額指數,45_46,批發業,08805,67.19,110年=100
營業額指數,45_46,批發業,08806,67.91,110年=100
營業額指數,45_46,批發業,08807,70.21,110年=100
營業額指數,45_46,批發業,08808,69.61,110年=100
營業額指數,45_46,批發業,08809,68.89,110年=100
營業額指數,45_46,批發業,08810,67.77,110年=100
營業額指數,45_46,批發業,08811,68.19,110年=100
營業額指數,45_46,批發業,08812,72.20,110年=100
營業額指數,45_46,批發業,08901,73.65,110年=100
營業額指數,45_46,批發業,08902,70.59,110年=100
營業額指數,45_46,批發業,08903,74.69,110年=100
營業額指數,45_46,批發業,08904,74.69,110年=100
營業額指數,45_46,批發業,08905,77.04,110年=100
營業額指數,45_46,批發業,08906,76.76,110年=100
營業額指數,45_46,批發業,08907,78.92,110年=100
營業額指數,45_46,批發業,08908,78.77,110年=100
營業額指數,45_46,批發業,08909,78.58,110年=100
營業額指數,45_46,批發業,08910,76.53,110年=100
營業額指數,45_46,批發業,08911,75.43,110年=100
營業額指數,45_46,批發業,08912,75.19,110年=100
營業額指數,45_46,批發業,09001,70.20,110年=100
營業額指數,45_46,批發業,09002,68.64,110年=100
營業額指數,45_46,批發業,09003,73.05,110年=100
營業額指數,45_46,批發業,09004,70.25,110年=100
營業額指數,45_46,批發業,09005,68.55,110年=100
營業額指數,45_46,批發業,09006,67.99,110年=100
營業額指數,45_46,批發業,09007,68.24,110年=100
營業額指數,45_46,批發業,09008,70.50,110年=100
營業額指數,45_46,批發業,09009,66.40,110年=100
營業額指數,45_46,批發業,09010,70.44,110年=100
營業額指數,45_46,批發業,09011,72.34,110年=100
營業額指數,45_46,批發業,09012,75.26,110年=100
營業額指數,45_46,批發業,09101,70.93,110年=100
營業額指數,45_46,批發業,09102,64.45,110年=100
營業額指數,45_46,批發業,09103,74.29,110年=100
營業額指數,45_46,批發業,09104,72.95,110年=100
營業額指數,45_46,批發業,09105,72.49,110年=100
營業額指數,45_46,批發業,09106,73.39,110年=100
營業額指數,45_46,批發業,09107,74.51,110年=100
營業額指數,45_46,批發業,09108,73.65,110年=100
營業額指數,45_46,批發業,09109,75.42,110年=100
營業額指數,45_46,批發業,09110,77.39,110年=100
營業額指數,45_46,批發業,09111,76.87,110年=100
營業額指數,45_46,批發業,09112,77.89,110年=100
營業額指數,45_46,批發業,09201,74.57,110年=100
營業額指數,45_46,批發業,09202,65.75,110年=100
營業額指數,45_46,批發業,09203,73.74,110年=100
營業額指數,45_46,批發業,09204,71.55,110年=100
營業額指數,45_46,批發業,09205,68.13,110年=100
營業額指數,45_46,批發業,09206,69.92,110年=100
營業額指數,45_46,批發業,09207,73.17,110年=100
營業額指數,45_46,批發業,09208,74.02,110年=100
營業額指數,45_46,批發業,09209,75.38,110年=100
營業額指數,45_46,批發業,09210,78.43,110年=100
營業額指數,45_46,批發業,09211,76.21,110年=100
營業額指數,45_46,批發業,09212,80.44,110年=100
營業額指數,45_46,批發業,09301,73.19,110年=100
營業額指數,45_46,批發業,09302,73.08,110年=100
營業額指數,45_46,批發業,09303,77.88,110年=100
營業額指數,45_46,批發業,09304,77.58,110年=100
營業額指數,45_46,批發業,09305,76.51,110年=100
營業額指數,45_46,批發業,09306,76.39,110年=100
營業額指數,45_46,批發業,09307,75.90,110年=100
營業額指數,45_46,批發業,09308,74.99,110年=100
營業額指數,45_46,批發業,09309,76.87,110年=100
營業額指數,45_46,批發業,09310,78.82,110年=100
營業額指數,45_46,批發業,09311,79.31,110年=100
營業額指數,45_46,批發業,09312,81.30,110年=100
